time,jpy,mona,mona_jpy,xrp,xrp_jpy,btc,btc_jpy,bcc,bcc_jpy,estimation
20180122-15-37,52606.30078125,8.0476999283,763.0,393.47329711910004,158.537,0.0,1321510.0,0.0,200000.0,121126.771931908
20180122-15-43,52606.30078125,8.0476999283,772.0419999999997,393.47329711910004,158.4,0.0,1320005.0,0.0,201629.0,121145.633392954
20180122-15-47,52606.30078125,8.047699928283691,758.0939999999997,393.4732971191406,159.0,0.0,1318501.0,0.0,200501.0,121269.46805262564
20180122-16-44,52606.30078125,8.047699928283691,760.0039999999997,393.4732971191406,158.2,0.0,1329138.0,0.0,200000.0,120970.06052179336
20180122-17-00,52606.30078125,8.047699928283691,771.8919999999997,393.4732971191406,158.072,0.0,1325999.0,0.0,200200.0,121015.36699650955
20180122-17-05,52606.30078125,8.047699928283691,765.01,393.4732971191406,159.2,0.0,1328182.0,0.0,200654.0,121403.82060475348
20180122-17-10,52606.30078125,8.047699928283691,771.77,393.4732971191406,159.011,0.0,1338700.0,0.0,200654.0,121383.85660311318
20180122-17-15,52606.30078125,8.047699928283691,771.77,393.4732971191406,158.8,0.0,1339364.0,0.0,201140.0,121300.83373742105
20180122-17-20,52606.30078125,8.047699928283691,771.6,393.4732971191406,158.49,0.0,1334355.0,0.0,201149.0,121177.48890632633
20180122-17-36,52606.30078125,8.047699928283691,776.863,393.4732971191406,158.2,0.0,1330000.0,0.0,200384.0,121105.7366948843
20180122-17-41,52606.30078125,8.047699928283691,757.012,393.4732971191406,158.12,0.0,1330028.0,0.0,200000.0,120914.5039398384
20180122-17-53,52606.30078125,8.047699928283691,765.9,393.4732971191406,158.3,0.0,1332000.0,0.0,200000.0,121056.85709028244
20180122-17-57,52606.30078125,8.047699928283691,765.9,393.4732971191406,158.4,0.0,1325000.0,0.0,200000.0,121096.20441999435
20180122-18-07,52606.30078125,8.047699928283691,759.003,393.4732971191406,158.001,0.0,1322320.0,0.0,200500.0,120883.70358803845
20180122-18-09,52606.30078125,8.047699928283691,759.6039999999999,393.4732971191406,158.002,0.0,1315400.0,0.0,201146.0,120888.93372899247
20180122-18-14,52606.30078125,8.047699928283691,769.978,393.4732971191406,157.752,0.0,1323033.0,0.0,199300.0,120874.0522437687
